Nome EC,UF EC,Cidade EC,Logradouro EC,Desvio de Preço (%),Blacklist,Preço por Litro,Mercadoria
P GASOLINA LIMOEIRO LTDA,RJ,PARAIBA DO SUL,"Rua ROD BR 393 KM 182, S/N","10,82%",🟠 Acima da média,6.890372405999589,Gasolina Comum
POST0 PETROBRAS,CE,CAMPOS SALES,Rua AVE. 7 DE SETEMBRO 441 CENTR,"10,82%",🟠 Acima da média,6.890239068785862,Gasolina Comum
AUTOPEL PORTO REAL,AL,PORTO REAL DO COLEGIO,"Rodovia BR 101, S/N","10,82%",🟠 Acima da média,6.890000000000001,Gasolina Comum
AUTO POSTO CAPUAN,CE,CAUCAIA,Rua AV. PRFA LETICIA MARQUES C 7,"10,82%",🟠 Acima da média,6.89,Gasolina Comum
PETROLEIRO COMERCIO DE PETROLEO,CE,LIMOEIRO DO NORTE,"Área ROD. PRES. GEISEL, S/N","10,82%",🟠 Acima da média,6.89,Gasolina Comum
POSTO SAO FRANCISCO,MA,SAO JOAO DOS PATOS,"Rua ROD BR 230 KM 93 S/N, S/N","10,82%",🟠 Acima da média,6.89,Gasolina Comum
POSTO AUTO SERVICOS,RJ,PARAIBA DO SUL,"Rua AV AYRTON SENNA 320, S/N","10,82%",🟠 Acima da média,6.889999999999999,Gasolina Comum
POSTO DALLAS,PA,BELEM,Rua AV.  PEDRO ALVARES CABRAL 17,"10,82%",🟠 Acima da média,6.889999999999999,Gasolina Comum
POSTO SENADOR,RN,NATAL,Rua AV CAPITAOMOR GOUVEIA 2232 C,"10,82%",🟠 Acima da média,6.889999999999999,Gasolina Comum
JEC COMERCIO DE COMBUSTIVEL LTDA,CE,FORTALEZA,"Área AVENIDA PRES CASTELO BRANC,","10,77%",🟠 Acima da média,6.886956893602462,Gasolina Comum
POSTO ECOLOGICO,CE,PARAIPABA,"Rua R. FELIPE DOS SANTOS N1, S/N","10,76%",🟠 Acima da média,6.51,Diesel S10
INVESTGAS,PE,RECIFE,Rua AV RECUPERACAO BR 101 KM 57,"10,66%",🟠 Acima da média,6.88,Gasolina Comum
POSTO SANTA TEREZA,CE,BARBALHA,"Avenida BEIRA BREJO, 54","10,59%",🟠 Acima da média,6.500000000000001,Diesel S10
POSTO SOL E MAR,CE,SAO GONCALO DO AMARANTE,"Área ROD 156, S/N","10,57%",🟠 Acima da média,6.874753681534061,Gasolina Comum
POSTO FIGUEIREDO-SHELL,MG,SANTOS DUMONT,"Rua AV GETULIO VARGAS 605, S/N","10,46%",🟠 Acima da média,4.76,Etanol
AUTOPOSTO AGUA BRANCA,PI,AGUA BRANCA,"Avenida JOSE MIGUEL, 1557","10,42%",🟠 Acima da média,6.49,Diesel S10
P GASOLINA LIMOEIRO LTDA,RJ,PARAIBA DO SUL,"Rua ROD BR 393 KM 182, S/N","10,42%",🟠 Acima da média,6.49,Diesel S10
P.CACIQUE 14,PI,TERESINA,"Avenida DEPUTADO PAULO FERRAZ, 1","10,42%",🟠 Acima da média,6.49,Diesel S10
P.CACIQUE 15,PI,TERESINA,"Avenida MARANHAO, 3399","10,42%",🟠 Acima da média,6.49,Diesel S10
POSTO PINHEIRO,CE,JAGUARIBE,"Rua AV 8 DE NOVEMBRO 410, S/N","10,42%",🟠 Acima da média,6.49,Diesel S10
POSTO SAO MATEUS,CE,JUAZEIRO DO NORTE,Rua AV CORONEL HUMBERTO BEZERRA,"10,42%",🟠 Acima da média,6.49,Diesel S10
POSTO Z+Z SAO BENTO,GO,GOIANIA,"Avenida ANHANGUERA, 2235","10,42%",🟠 Acima da média,6.49,Diesel S10
AUTO POSTO NOVO HORIZONTE,MG,BOA ESPERANCA,"Rua MARIQUINHA GOMES, 903","10,42%",🟠 Acima da média,6.489999999999999,Diesel S10
AUTO POSTO CARAJAS,MA,SANTA INES,"Rua AV CASTELO BRANCO 1850., S/N","10,34%",🟠 Acima da média,6.86,Gasolina Comum
ALBUQUERQUE PNEUS GOIANA,PE,GOIANA,ROD PE 75 45,"10,31%",🟠 Acima da média,6.85855655794587,Gasolina Comum
PETROBOM,MG,PERDIZES,"Rua AV GERCINO COUTINHO, 318, S/","10,28%",🟠 Acima da média,6.481749781277341,Diesel S10
POSTO AVENIDA,MG,LAVRAS,"Avenida ERNESTO MATIOLLI, 1066","10,23%",🟠 Acima da média,4.75,Etanol
POSTO NOSSA SENHORA DABADIA,GO,VILA PROPICIO,"Rodovia BR 3, S/N","10,23%",🟠 Acima da média,4.75,Etanol
L G COMERCIO PETROLEO,CE,JUAZEIRO DO NORTE,"Rua AV. PE CICERO 1696, S/N","10,20%",🟠 Acima da média,6.851430533751961,Gasolina Comum
POSTO CIDADE JARDIM,PA,PARAUAPEBAS,"Rua AV H QD 1 LT12 E 27, S/N","10,19%",🟠 Acima da média,6.850707873347082,Gasolina Comum
GG PETROLEO,PE,RECIFE,"Rua AV. PRF MORAES REGO 670, S/N","10,18%",🟠 Acima da média,6.85,Gasolina Comum
POSTO CEMOPEL 3,PE,OLINDA,"Rua AV DR JOAQUIM NABUCO 1600, S","10,18%",🟠 Acima da média,6.85,Gasolina Comum
POSTO RM 3,CE,FORTALEZA,"Rua AV MISTER HULL 3300, S/N","10,07%",🟠 Acima da média,6.843331811958008,Gasolina Comum
POSTO 3D,MG,ALEM PARAIBA,Área R CORONEL CASTELO BRANCO 16,"10,00%",✅ Dentro da média,4.74,Etanol
POSTO CJCM,PE,IGARASSU,"Rua AV VERA CRUZ SN, S/N","9,85%",✅ Dentro da média,6.83,Gasolina Comum
AUTO POSTO NOVO HORIZONTE,MG,BOA ESPERANCA,"Rua MARIQUINHA GOMES, 903","9,76%",✅ Dentro da média,4.73,Etanol
POSTO DO TREVO,MG,SACRAMENTO,Rua R MAJ ATALIBA JOSE CUNHA 130,"9,76%",✅ Dentro da média,4.73,Etanol
POSTO SORRISO,SE,ARACAJU,"Área AVENIDA EUCLIDES FIGUEIRED,","9,69%",✅ Dentro da média,6.82,Gasolina Comum
AUTO POSTO ALEX,CE,IGUATU,"Rua RUA JULIO CAVALCANTE, 50, S/","9,57%",✅ Dentro da média,6.44,Diesel S10
BOAVENTURA ROTA DO SOL,CE,CAUCAIA,Área RUA JULIA DA SILVA OLIVEIRA,"9,57%",✅ Dentro da média,6.44,Diesel S10
H P N CHAVES COMERCIO DE COMBUST,CE,CAUCAIA,Área Rodovia Estruturante - CE 0,"9,57%",✅ Dentro da média,6.44,Diesel S10
POSTO SETE CARIOCA,CE,FORTALEZA,"Rua AV.  ALBERTO CRAVEIRO 2585,","9,52%",✅ Dentro da média,6.80933921815889,Gasolina Comum
POSTO VERCOL LTDA,PE,SALGUEIRO,Rua AV CEL VEREMUNDO SOARES 1640,"9,37%",✅ Dentro da média,6.8,Gasolina Comum
H P N CHAVES COMERCIO DE COMBUST,CE,CAUCAIA,Área Rodovia Estruturante - CE 0,"9,26%",✅ Dentro da média,6.793116012351125,Gasolina Comum
POSTO AMUARAMA,CE,FORTALEZA,Rua AV DEP OSWALDO STUDART 888-A,"9,25%",✅ Dentro da média,6.792499292386074,Gasolina Comum
AUTO POSTO DOIS IRMAOS,MA,BURITICUPU,"Área ESTRADA BR 222 SN KM 170, S","9,23%",✅ Dentro da média,6.791439955263526,Gasolina Comum
P F NETO PETROLEO E COMBUSTIVEI,CE,FORTALEZA,Rua AVENIDA LUCIANO CARNEIRO 721,"9,23%",✅ Dentro da média,6.791074779481992,Gasolina Comum
POSTO 13 DE MAIO IPIR,RJ,PETROPOLIS,"Rua R 13 DE MAIO 135, S/N","9,22%",✅ Dentro da média,6.7905826204055755,Gasolina Comum
PETRO COM DE COMBUSTIVEIS,MA,BALSAS,"Rua AV GOV LUIZ ROCHA 41 B, S/N","9,21%",✅ Dentro da média,6.790244969794986,Gasolina Comum
INDUSTRIAL,SE,NOSSA SENHORA DO SOCORRO,"Área R 8  710,  DIST. INDUAT. NO","9,21%",✅ Dentro da média,6.790000000000002,Gasolina Comum
POSTO ITAMARATY 13,PE,PETROLINA,"Rua ROD BR 407 KM 2,  R 07 N 521","9,21%",✅ Dentro da média,6.790000000000002,Gasolina Comum
POSTO GAUCHAO,RJ,TRES RIOS,"Rua EST UNIAO INDUSTRIA BR, S/N","9,21%",✅ Dentro da média,6.790000000000001,Gasolina Comum
REDE PRESIDENTE,SE,ARACAJU,"Rua AV COELHO E CAMPOS 1254, S/N","9,21%",✅ Dentro da média,6.790000000000001,Gasolina Comum
REDE PRESIDENTE FILIAL ITAPORANG,SE,ITAPORANGA D'AJUDA,"Rua R.ROD BR 101 KM 116, S/N","9,21%",✅ Dentro da média,6.790000000000001,Gasolina Comum
REDE PRESIDENTE FILIALECOPOSTO,SE,ARACAJU,"Rua ROD DOS NAUFRAGOS 11800, S/N","9,21%",✅ Dentro da média,6.790000000000001,Gasolina Comum
J L COMBUSTIVEIS E LUBRIFICANTES,PE,SALGUEIRO,"Rua DESEMB SILVA BARROS, 327","9,21%",✅ Dentro da média,6.79,Gasolina Comum
P GASOLINA LIMOEIRO LTDA,RJ,PARAIBA DO SUL,"Rua ROD BR 393 KM 182, S/N","9,21%",✅ Dentro da média,6.79,Gasolina Comum
PETROX,SE,ARACAJU,"Área AV.  BEIRA MAR 770, S/N","9,21%",✅ Dentro da média,6.79,Gasolina Comum
PETROX COMERCIAL,SE,ARACAJU,RODOVIA NAUFRAGOS,"9,21%",✅ Dentro da média,6.79,Gasolina Comum
POSTO ALPHA 11,SE,ARACAJU,Rua AVENIDA  FRANCISCO PORTO 650,"9,21%",✅ Dentro da média,6.79,Gasolina Comum
POSTO AUTO SERVICOS,RJ,PARAIBA DO SUL,"Rua AV AYRTON SENNA 320, S/N","9,21%",✅ Dentro da média,6.79,Gasolina Comum
POSTO BR,RJ,PETROPOLIS,"Rua R.CORONEL VEIGA 687, S/N","9,21%",✅ Dentro da média,6.79,Gasolina Comum
POSTO FLEX,CE,FORTALEZA,"Avenida FRANCISCO SA, 2707","9,21%",✅ Dentro da média,6.79,Gasolina Comum
POSTO GUARAVE,ES,GUARAPARI,Rua R.EWERSON DE ABREU SODRE 300,"9,21%",✅ Dentro da média,6.79,Gasolina Comum
POSTO NINO S,RJ,PETROPOLIS,"Rua AV  BR RIO BRANCO N 10, S/N","9,21%",✅ Dentro da média,6.79,Gasolina Comum
POSTO PETROX,SE,BARRA DOS COQUEIROS,ROD ENG ADILSON TAVORA SN,"9,21%",✅ Dentro da média,6.79,Gasolina Comum
POSTO PETROX II,SE,ARACAJU,"Área AV. BEIRA MAR 662, S/N","9,21%",✅ Dentro da média,6.79,Gasolina Comum
POSTO UNIAO,RJ,PETROPOLIS,"Estrada UNIAO E INDUSTRIA, 4500","9,21%",✅ Dentro da média,6.79,Gasolina Comum
POSTOS CURRAIS NOVOS,RN,CURRAIS NOVOS,Rua AV DR SILVIO DE BEZ MELO 865,"9,21%",✅ Dentro da média,6.79,Gasolina Comum
REDE PRESIDENTE,SE,ARACAJU,"Rua AV PRES TANCREDO NEVES 4930,","9,21%",✅ Dentro da média,6.79,Gasolina Comum
REDE PRESIDENTE,SE,ARACAJU,Rua TV J DISTRITO INDUSTRIAL 481,"9,21%",✅ Dentro da média,6.79,Gasolina Comum
REDE PRESIDENTE- FILIAL BARRA,SE,BARRA DOS COQUEIROS,"Rua R SAO MATHEUS SN, S/N","9,21%",✅ Dentro da média,6.79,Gasolina Comum
REDE PRESIDENTE-FILIAL MEGA I,SE,NOSSA SENHORA DO SOCORRO,"Rua ROD BR 101 KM 92 SN, S/N","9,21%",✅ Dentro da média,6.79,Gasolina Comum
ALESAT POSTO PE CICERO 01,CE,JUAZEIRO DO NORTE,"Avenida PADRE CICERO, 2506","9,21%",✅ Dentro da média,6.789999999999999,Gasolina Comum
AUTO POSTO ALMEIDA DE FRIBURGO,RJ,NOVA FRIBURGO,"Área ANTONIO MARIO DE AZEVEDO, S","9,21%",✅ Dentro da média,6.789999999999999,Gasolina Comum
CENTRO AUTOMOTIVO PACO DE SOUZA,RJ,NITEROI,"Área AVENIDA  JANSEN DE MELO, S/","9,21%",✅ Dentro da média,6.789999999999999,Gasolina Comum
CUTUBA,RJ,TRES RIOS,"Rua RODOVIA BR-393, S/N","9,21%",✅ Dentro da média,6.789999999999999,Gasolina Comum
PREDITIVA AUTO POSTO,RJ,PETROPOLIS,"Rua R MONTECASEROS 101, S/N","9,21%",✅ Dentro da média,6.789999999999999,Gasolina Comum
REDE PRESIDENTE-FILIAL RIO SERGI,SE,ARACAJU,"R IRMA DULCE, 456","9,21%",✅ Dentro da média,6.789999999999999,Gasolina Comum
POSTO CINCO ESTRELAS,PE,IGARASSU,"Rua ROD BR 101 NORTE KM 43, S/N","9,21%",✅ Dentro da média,6.789999999999998,Gasolina Comum
POSTO RECAMONDE,CE,FORTALEZA,"Rua AV.  GODOFREDO MACIEL 585, S","9,18%",✅ Dentro da média,6.49,Diesel
POSTO ANTONIO BEZERRA,CE,FORTALEZA,"Rua AV. MR HULL 4754, S/N","9,10%",✅ Dentro da média,6.783318253788734,Gasolina Comum
POSTO ALTERNATIVO II-S,RJ,VASSOURAS,"Rua OTAVIO GOMES, 11","9,05%",✅ Dentro da média,6.78,Gasolina Comum
POSTO DE GASOLINA BOA VIAGEM DE,RJ,NOVA FRIBURGO,"Rua RUA VISCONDE DO RIO BRANCO,","9,05%",✅ Dentro da média,6.779999999999999,Gasolina Comum
POSTO UNIAO DE PETROPOLIS LTDA,RJ,PETROPOLIS,"Área ESTRADA UNIAO E INDUSTRIA,","9,04%",✅ Dentro da média,6.779556825744821,Gasolina Comum
POSTO COLONIAL PETROPOLITANO,RJ,PETROPOLIS,"Rua GENERAL RONDON 321, S/N","9,01%",✅ Dentro da média,6.77749582079572,Gasolina Comum
POSTO TROPICAL,CE,FORTALEZA,"Rua AV PRESIDENTE COSTA  SILVA,","9,00%",✅ Dentro da média,6.7767018658096445,Gasolina Comum
POSTO ENSEADA AZUL,ES,GUARAPARI,"Rua AV.  MEAIPE 1373, S/N","8,98%",✅ Dentro da média,6.775882352941175,Gasolina Comum
POSTO ITAMARATY 14,PE,PETROLINA,"Rua RUA  FLORENCIO BARROS FILHO,","8,94%",✅ Dentro da média,6.773124506151935,Gasolina Comum
POSTO SATURNO,RJ,NOVA FRIBURGO,Rua AV.  EUTERPE FRIBURGUENSE 15,"8,92%",✅ Dentro da média,6.771949434464403,Gasolina Comum
RVM DO SUDOESTE -ESSO,MG,PASSOS,Rua AV. CDOR FRANCISCO A MAIA 43,"8,91%",✅ Dentro da média,5.99,Diesel S50
POSTO CATARINENSE,TO,PORTO NACIONAL,"Rua PC DO CENTENARIO 713, S/N","8,89%",✅ Dentro da média,6.4,Diesel S10
POSTO MARACAS,BA,MARACAS,"Rua AV BRASILIA 1368A, S/N","8,89%",✅ Dentro da média,6.4,Diesel S10
POSTO BOAVENTURA III,CE,FORTALEZA,"Rua RUA  NEREU RAMOS, S/N","8,89%",✅ Dentro da média,6.77,Gasolina Comum
POSTO ESTRELA,CE,FORTALEZA,"Rua R PROF HERIBALDO COSTA 450,","8,89%",✅ Dentro da média,6.77,Gasolina Comum
POSTO GAS G M I EIRELI,RJ,CARMO,EST CARMO  ALEM PARAIBA  193,"8,89%",✅ Dentro da média,6.77,Gasolina Comum
POSTO GASOCEL LTDA,PI,ALTOS,"Rua AVENIDA JOAO DE PAIVA 479, S","8,89%",✅ Dentro da média,6.77,Gasolina Comum
PETROX,SE,NOSSA SENHORA DO SOCORRO,"Área AV COLETORA A 2457, S/N","8,88%",✅ Dentro da média,6.769368831083089,Gasolina Comum
PETROX,SE,ARACAJU,"AV MONTEIRO LOBATO, 850","8,88%",✅ Dentro da média,6.7692464580414144,Gasolina Comum
REDE PETROPOLIS,RJ,TRES RIOS,R PRF MOREIRA              0367,"8,86%",✅ Dentro da média,6.768407420838665,Gasolina Comum
POSTO ROBERTAO,RJ,CAMPOS DOS GOYTACAZES,"Rua AV PELINCA 335, S/N","8,84%",✅ Dentro da média,6.76674570400959,Gasolina Comum
AUTO POSTO ECONOMICO,MG,PATROCINIO,"Rua AV FARIA PEREIRA 95, S/N","8,84%",✅ Dentro da média,4.69,Etanol
EURO GAS,DF,BRASILIA,"Rua QS 9 R 123 L 06 / 14, S/N","8,84%",✅ Dentro da média,4.69,Etanol
POSTO ALPA 10,MG,SAO GOTARDO,"Rua AV. BRASIL 214, S/N","8,84%",✅ Dentro da média,4.69,Etanol
POSTO CABRAL,MG,SANTA JULIANA,"Rua ROD BR 452 KM 223, S/N","8,84%",✅ Dentro da média,4.69,Etanol
POSTO JAVA,MG,IBIA,"Rua ROD BR 262 KM 630 S/N, S/N","8,84%",✅ Dentro da média,4.69,Etanol
POSTO DE GASOLINA BING,RJ,PETROPOLIS,"Rua R  BINGEN 2170, S/N","8,79%",✅ Dentro da média,6.7636204794798855,Gasolina Comum
REDE PRESIDENTE,SE,SAO CRISTOVAO,"Rua AV GOV JOAO ALVES FILHO 669,","8,78%",✅ Dentro da média,6.763376142257347,Gasolina Comum
AUTO POSTO BARRA GAS,RJ,BARRA DE SAO JOAO,Rua ROD AMARAL PEIXOTO FRENTE CO,"8,77%",✅ Dentro da média,6.39,Etanol Aditivado
POSTO GRACILIANO RAMOS,AL,MACEIO,Rua AV. DR FERNANDO DO COUTO MAL,"8,74%",✅ Dentro da média,6.761051060872409,Gasolina Comum
AS ILHAS AUTO POSTO,SP,SAO SEBASTIAO,Área RUA MANOEL MARCELINO DE MAT,"8,73%",✅ Dentro da média,6.76,Gasolina Comum
MINUTUS COMBUSTIVEIS,RJ,CARMO,"Área RUA JOSE RIBEIRO DE MOURA,","8,72%",✅ Dentro da média,6.390000000000001,Diesel S10
ALESAT POSTO SAO SEBASTIAO,CE,NOVA OLINDA,"Rua AV PERIMETRAL SUL 337, S/N","8,72%",✅ Dentro da média,6.39,Diesel S10
CARRETEIRO 07,MA,ESTREITO,"Rua ROD BR010 KM 1225, S/N","8,72%",✅ Dentro da média,6.39,Diesel S10
P.CACIQUE 15,PI,TERESINA,"Avenida MARANHAO, 3399","8,72%",✅ Dentro da média,6.39,Diesel S10
POSTO BARBARA,RJ,VOLTA REDONDA,"Rua VIA SERGIO BRAGA 1070, S/N","8,72%",✅ Dentro da média,6.39,Diesel S10
POSTO LEAL,CE,NOVA OLINDA,"Rua ROD CE 90 KM 28 E 29, S/N","8,72%",✅ Dentro da média,6.39,Diesel S10
POSTO SANTO ANTONIO,PE,CARUARU,"Rua AVENIDA  ESTADOS, S/N","8,72%",✅ Dentro da média,6.39,Diesel S10
P.CACIQUE 14,PI,TERESINA,"Avenida DEPUTADO PAULO FERRAZ, 1","8,72%",✅ Dentro da média,6.389999999999999,Diesel S10
REDE PRESIDENTE FAROLANDIA,SE,ARACAJU,Rua R. MAJ HUNALDO DOS SANTOS SN,"8,64%",✅ Dentro da média,6.754688510757981,Gasolina Comum
AUTO POSTO SAO DOMINGOS LTDA,MG,IBIA,"AV BARTOLOMEU RIBEIRO DE P, 1050","8,60%",✅ Dentro da média,4.680000000000001,Etanol
POSTO ALPA VII PARA-SHELL,MG,IBIA,Rua AV BHARTOLOMEU R DE PAIVA 68,"8,60%",✅ Dentro da média,4.679999999999999,Etanol
ALBUQUERQUE PNEUS GOIANA,PE,GOIANA,ROD PE 75 45,"8,60%",✅ Dentro da média,6.752010603048376,Gasolina Comum
POSTO DUAS COLUNAS,RJ,TRES RIOS,Rua AV. CONDESSA DE RIO NOVO 105,"8,59%",✅ Dentro da média,6.7511531447639,Gasolina Comum
GG PETROLEO,PE,RECIFE,"Rua AV. PRF MORAES REGO 670, S/N","8,58%",✅ Dentro da média,6.750773022728263,Gasolina Comum
AVANTI PETROLEO,CE,JUAZEIRO DO NORTE,AVENIDA GOVERNADOR VIRGILIO TAVO,"8,57%",✅ Dentro da média,6.75,Gasolina Comum
COMERCIAL D2 DE COMBUSTIVEIS LT,CE,ITAPIPOCA,"Área Rua Vicente Siebra, 3701","8,57%",✅ Dentro da média,6.75,Gasolina Comum
POSTO MAVEL,PE,PETROLINA,"Rua CORONEL CLEMENTINO COELHO, S","8,57%",✅ Dentro da média,6.75,Gasolina Comum
POSTO QUARUP,RJ,NOVA FRIBURGO,"Rua ROD RJ 116 KM 73 4026, S/N","8,57%",✅ Dentro da média,6.75,Gasolina Comum
POSTO PADRE CICERO 08,CE,JUAZEIRO DO NORTE,"Rua AV PADRE CICERO 2200, S/N","8,57%",✅ Dentro da média,6.749958619147032,Gasolina Comum
MASTERGAS,PB,PATOS,"Rua HORACIO NOBREGA, 48","8,55%",✅ Dentro da média,6.38,Diesel S10
POSTO PETROX,SE,ARACAJU,Área AV PAULO FIGUEREDO BARRETO,"8,55%",✅ Dentro da média,6.748823529411766,Gasolina Comum
JF COMERCIAL PETROLEO-SHELL,CE,CAUCAIA,"Rua AV.DALMEIDA LUSTOSA 1230, S/","8,52%",✅ Dentro da média,6.7471051548513215,Gasolina Comum
POSTO SOL POENTE,CE,FORTALEZA,"Rua AVENIDA CEL CARVALHO, S/N","8,52%",✅ Dentro da média,6.746955017301039,Gasolina Comum
POSTO DESEMBARGADOR M-SHELL,CE,FORTALEZA,"Rua RUA CAROLINA SUCUPIRA, S/N","8,51%",✅ Dentro da média,6.45,Diesel
POSTO QUITANDINHA,RJ,PETROPOLIS,"Rua AV.AYRTON SENNA ,545, S/N","8,49%",✅ Dentro da média,6.745173139669507,Gasolina Comum
POSTO MONOLITOS,CE,QUIXADA,"Rua AV PLACIDO CASTELO 1599, S/N","8,44%",✅ Dentro da média,6.7419620195998755,Gasolina Comum
MARIA GULA,SP,SAO SEBASTIAO,"Rua BENEDITO CARLOS DE ALMEIDA,","8,43%",✅ Dentro da média,4.672607106830855,Etanol
POSTO MENINO JESUS,CE,ICO,"Rua ROD CE 282 KM 20, S/N","8,41%",✅ Dentro da média,6.74,Gasolina Comum
POSTO SUL,PE,JABOATAO DOS GUARARAPES,"Rodovia BR 101 SUL, 3","8,41%",✅ Dentro da média,6.739999999999999,Gasolina Comum
POSTO NOSSA SENHORA DA GUIA,PI,FLORIANO,"Rua AVENIDA CALISTO LOBO 770, S/","8,38%",✅ Dentro da média,6.369999999999999,Diesel S10
POSTO 81,DF,BRASILIA,"Rua CNN 2 LT A, S/N","8,37%",✅ Dentro da média,4.67,Etanol
"POSTO, HOTEL E RESTAURANTE VENT",MG,ALPINOPOLIS,"Rua R RIO DE JANEIRO 2, S/N","8,37%",✅ Dentro da média,4.67,Etanol
MULT POSTOS,PE,RECIFE,"Avenida DOIS RIOS, 601","8,25%",✅ Dentro da média,6.73,Gasolina Comum
POSTO R SA OEIRAS,PI,OEIRAS,"Rua AV TRANSAMASONICA 736, S/N","8,25%",✅ Dentro da média,6.73,Gasolina Comum
POSTO SAO PEDRO,CE,ITAPIPOCA,"Rua AV MNS TABOSA 2771, S/N","8,25%",✅ Dentro da média,6.73,Gasolina Comum
IGUEP INCORPORADORA,PE,RECIFE,Rua AV ENG ABDIAS DE CARVALHO 11,"8,17%",✅ Dentro da média,6.725174050632912,Gasolina Comum
REDE PRESIDENTE- FILIAL PATY,SE,ROSARIO DO CATETE,"Rua ROD BR 101 KM 575 SN, S/N","8,17%",✅ Dentro da média,6.72502734088731,Gasolina Comum
POSTO SAO PEDRO,CE,PACAJUS,Rua RUA CONEGO EDUARDO ARARIPE,"8,09%",✅ Dentro da média,6.720360076697948,Gasolina Comum
POSTO MOREIRA CAROLINA,MA,CAROLINA,"Área ROD BR 010 NUMERO 03, S/N","8,08%",✅ Dentro da média,6.72,Gasolina Comum
REDE ARENA,DF,BRASILIA,"Rua QI 4 LOTE 41, S/N","8,08%",✅ Dentro da média,4.657505002308757,Etanol
POSTO PETROLINA,PE,PETROLINA,"Rua AV ULISSES GUIMARES 451, S/N","8,01%",✅ Dentro da média,6.715494804552202,Gasolina Comum
POSTO STATUS,RJ,GUAPIMIRIM,"Rua EST RIO TERESOPOLIS KM 107,","8,01%",✅ Dentro da média,5.94,Diesel S50
